staging_id,investor,invested_amount,invested_equity,invested_debt
116,Vineeta,10.0,7.5,
116,Anupam,10.0,7.5,
116,Aman,10.0,7.5,
116,Ashneer Grover,10.0,7.5,
119,Namita,7.0,4.0,
119,Vineeta,7.0,4.0,
119,Aman,7.0,4.0,
121,Namita,25.0,2.0,25.0
121,Peyush,25.0,2.0,25.0
123,Peyush,30.0,5.0,
123,Ghazal Alagh,30.0,5.0,
153,Aman,50.0,1.0,
153,Peyush,50.0,1.0,
154,Vineeta,10.0,5.0,
154,Anupam,10.0,5.0,
154,Peyush,10.0,5.0,
156,Namita,25.0,5.0,
156,Aman,25.0,5.0,
157,Vineeta,50.0,5.0,50.0
157,Anupam,50.0,5.0,50.0
158,Vineeta,50.0,18.0,25.0
160,Namita,50.0,0.2,50.0
160,Aman,50.0,0.2,50.0
160,Peyush,50.0,0.2,50.0
161,Namita,20.0,20.0,
162,Aman,50.0,3.335,
162,Peyush,50.0,3.335,
163,Anupam,20.0,2.0,
163,Peyush,20.0,2.0,
164,Namita,35.0,5.0,35.0
165,Vineeta,50.0,5.0,
165,Anupam,50.0,5.0,
168,Vineeta,12.5,2.0,
168,Anupam,12.5,2.0,
168,Aman,12.5,2.0,
168,Peyush,12.5,2.0,
169,Namita,33.33,0.666,
169,Aman,33.33,0.666,
169,Peyush,33.33,0.666,
172,Vineeta,15.0,5.0,
172,Aman,15.0,5.0,
173,Namita,50.0,3.5,50.0
174,Namita,15.0,1.5,
174,Aman,15.0,1.5,
175,Aman,37.5,1.875,
175,Peyush,37.5,1.875,
177,Vineeta,32.5,1.0,
177,Aman,32.5,1.0,
178,Namita,50.0,2.0,
179,Anupam,100.0,10.0,
181,Namita,25.0,7.5,50.0
182,Peyush,40.0,10.0,
183,Aman,37.5,1.5,
183,Peyush,37.5,1.5,
184,Namita,30.0,4.0,50.0
185,Aman,60.0,4.0,
186,Namita,100.0,2.5,
188,Namita,18.75,3.75,
188,Aman,18.75,3.75,
188,Peyush,18.75,3.75,
188,Amit,18.75,3.75,
189,Amit,40.0,20.0,
191,Anupam,25.5,3.0,
191,Peyush,25.5,3.0,
192,Amit,75.0,5.0,
194,Amit,72.0,6.5,
195,Aman,45.0,3.75,
195,Peyush,45.0,3.75,
196,Namita,30.0,3.0,
196,Amit,30.0,3.0,
197,Namita,19.0,1.0,41.0
198,Peyush,50.0,2.0,
199,Anupam,45.0,1.5,
199,Peyush,45.0,1.5,
202,Peyush,10.0,10.0,10.0
202,Amit,10.0,10.0,10.0
203,Anupam,50.0,25.0,
204,Peyush,100.0,1.0,
205,Amit,25.0,5.0,25.0
208,Namita,70.0,5.0,
209,Aman,37.5,1.43,
